Name,Category,Url
Renee.pl (PL),"
    Fashion",https://www.renee.pl
RTV EURO AGD (PL),"
    Telecoms & Utilities, Shopping & Retail, Computers & Electronics",http://www.euro.com.pl
RunnersClub.pl (PL),"
    Fashion, Sports & Recreation",https://runnersclub.pl
Saltandpepper,"
    Fashion",https://www.saltandpepper.pl
Santander Consumer Bank karta kredytowa,"
    Finance",https://www.santanderconsumer.pl
Selectcamp,"
    Travel",https://www.selectcamp.com
Sferis (PL),"
    Telecoms & Utilities, Shopping & Retail, Computers & Electronics",http://www.sferis.pl
Showroom,"
    Fashion",https://www.showroom.pl
Skarbnica Narodowa kampania,"
    Finance",https://ecselis.com
Skyscanner PL,"
    Travel",http://www.skyscanner.pl
Spartoo PL,"
    Fashion",http://www.spartoo.pl
Szkla.com,"
    Health & Beauty, Shopping & Retail",https://szkla.com
T-Mobile Usługi Bankowe Pożyczka Gotówkowa,"
    Finance",https://form.t-mobilebankowe.pl
TUI Biuro Podróży,"
    Travel",http://tui.pl
Urwis.pl (PL),"
    Shopping & Retail",http://urwis.pl
Vacansoleil PL,"
    Travel",http://www.vacansoleil.pl
VANGRAAF,"
    Fashion",http://www.vangraaf.com
Velpa.pl (PL),"
    Fashion",https://velpa.pl
Virtualo,"
    Shopping & Retail, Media & Entertainment",http://virtualo.pl
Vivus PL,"
    Finance",https://www.vivus.pl
VOBIS (PL),"
    Computers & Electronics, Shopping & Retail, Media & Entertainment",http://vobis.pl
vodanaturalna.pl (closed),"
    Health & Beauty",http://store.vodanaturalna.pl
Wittchen,"
    Fashion, Shopping & Retail",https://www.wittchen.com
Zadowolenie.pl (PL),"
    Shopping & Retail",http://zadowolenie.pl
Zaplo PL,"
    Finance",https://www.zaplo.pl
Zooplus,"
    Sports & Recreation, Home & Garden, Shopping & Retail",https://www.zooplus.pl
Alior Mikropożyczka,"
    Finance",https://www.aliorbank.pl/
Bancovo kampania,"
    Finance",https://www.bancovo.pl
Ford Flota - Wiosenne promocje kampania,"
    Automotive",https://fordflota.pl
Kampania Iveco Daily,"
    Automotive",https://promocje.iveco.pl
P4 Play kampania,"
    Telecoms & Utilities",https://www.play.p
