"advertiserId","programName","conversionRate","confirmationRate","approvalTime","epc","confirmationTime","joinDate","paymentStatus","adRank","feedEnabled","parentSectors","subSectors","clickMin","clickMax","leadMin","leadMax","saleMin","saleMax","salePercentageMin","salePercentageMax"
"13898","egoist DE - migrated","0","100 / 0","0","0.00","99","2013-10-18 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories","0","0","0","0","0","0","0","0"
"14284","Sport-Thieme NL","0","0 / 0","0","0.00","0","2013-10-21 00:00:00",,"0","no","Retail & Shopping","Sports Equipment","","","","","","","5","7.5"
"15212","reifendiscount DE - migrated","0","0 / 0","0","0.00","0","2014-06-23 00:00:00",,"0","yes","Retail & Shopping","Automotive","","","","","","","2.1","2.1"
"12874","Marisa BR","3","85.8 / 0","47","0.05","80","2018-03-09 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","4","12"
"14882","Farfetch:Zanox:Affiliate:CPA:EU:NL","0","100 / 0","0","0.00","0","2014-02-18 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories|Menswear|Womenswear","","","","","","","5","10"
"14577","Schecker NL","0","0 / 0","0","0.00","0","2013-12-19 00:00:00",,"0","no","Retail & Shopping","Pets & Pet Care","","","","","","","8","8"
"14335","bellybutton DE - migrated","0","100 / 0","0","0.00","0","2013-11-20 00:00:00",,"0","yes","Retail & Shopping","Clothing|Baby & Toddler","","","","","","","5","14"
"14471","Chain Reaction Cycles IT: Migrated 05/12/2017","0","100 / 0","0","0.00","0","2013-11-13 00:00:00",,"0","yes","Retail & Shopping","Sports Equipment","","","","","","","2","4"
"14210","VALMANO DE/AT - migrated","0","100 / 0","77","0.00","128","2013-11-19 00:00:00",,"0","yes","Retail & Shopping","Jewellery","","","","","","","8","12"
"14445","Douglas NL - migrated","0","100 / 0","52","0.00","93","2013-11-15 00:00:00",,"0","no","Retail & Shopping","Gifts & Flowers|Health & Beauty","","","","","","","5","10"
"14340","Bloomfashion NL","0","0 / 0","0","0.00","0","2013-11-26 00:00:00",,"0","no","Retail & Shopping","Clothing","","0.28","","","","","0","8"
