Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Spartan (FR),https://spartanunderwear.com,"
    Fashion",Unknown,12471,France - 30.83,Australia - 18.89,Norway - 14.65, - 11.19,United States - 10.95,4742876,308778,
Stokke (FR),https://www.stokke.com,"
    Shopping & Retail",Shopping/Furniture,913444,United States - 13.96,Germany - 9.98,United Kingdom - 8.15,Italy - 6.85,France - 5.92,95799,130635,72
Telefleurs (FR),http://www.telefleurs.fr,"
    Fashion, Shopping & Retail, Home & Garden",Shopping/Flowers,252136,France - 76.68,United Kingdom - 3.20,United States - 2.69,Congo Republic - 2.23,Belgium - 1.98,342984,20931,82
Thalassa sea & spa (FR),http://www.thalassa.com,"
    Health & Beauty, Travel",Travel/Accommodation_and_Hotels,161061,France - 85.07,Belgium - 2.58,United Kingdom - 2.10,Italy - 1.61,Luxembourg - 0.98,503529,24054,2455
Swarovski (FR),http://www.swarovski.com,"
    Fashion, Shopping & Retail",Shopping/Jewelry,8860884,United States - 18.47,United Kingdom - 10.95,France - 8.22,Germany - 7.61,Canada - 6.80,12263,13420,6
Travelski (FR),http://www.travelski.com,"
    Travel",Travel/Tourism,447493,France - 94.71,United Kingdom - 1.31,Belgium - 1.08,Czech Republic - 0.67,Switzerland - 0.42,299864,13196,3307
StubHub (FR),https://www.stubhub.fr,"
    Media & Entertainment",Unknown,436958,France - 88.72,United Kingdom - 1.56,Germany - 1.13,Spain - 0.97,United States - 0.69,159967,7221,
Vacanceselect (FR),https://www.vacanceselect.com,"
    Travel",Travel/Tourism,1119005,Netherlands - 38.71,Germany - 19.11,Italy - 12.90,France - 12.67,Belgium - 7.71,102250,3881,1001
Vistaprint Star Program (FR),http://www.vistaprint.fr,"
    Business-To-Business, Shopping & Retail",Shopping/Office_Products,2787754,France - 90.48,Reunion - 0.81,Martinique - 0.70,Congo - 0.67,Congo Republic - 0.66,24658,854,11
Toner Services (FR),https://www.toner.fr,"
    Telecoms & Utilities, Computers & Electronics",Shopping/Office_Products,304843,France - 84.23,Belgium - 3.13,Morocco - 1.76,Congo - 1.71, - 1.19,270781,11699,75
Vueling (FR),http://www.vueling.com,"
    Shopping & Retail",Travel/Airlines_and_Airports,17346316,Spain - 45.64,France - 11.35,Italy - 10.14,United Kingdom - 5.03,Netherlands - 3.12,6686,253,37
YOOX FR,http://www.yoox.com,"
    Fashion, Shopping & Retail",Shopping/Clothing,24717913,Italy - 18.83,Russian Federation - 18.77,United States - 12.50,Japan - 8.16,Germany - 6.41,2636,243,23
Thomas Cook (FR),https://www.thomascook.fr,"
    Travel",Travel/Tourism,1285183,France - 92.36,Belgium - 3.00, - 0.56,Switzerland - 0.48,Congo Republic - 0.47,61785,2284,575
Alior Mikropożyczka,http://clk.tradedoubler.com,"
    Finance",Unknown,32259526,Poland - 21.92,France - 20.18,Spain - 12.38,Italy - 10.24,Sweden - 6.04,,,
Volotea (FR),http://www.volotea.com,"
    Travel",Travel/Airlines_and_Airports,6121012,France - 39.01,Italy - 36.43,Spain - 8.39,Greece - 2.49,Czech Republic - 1.69,17029,1406,80
Allegro.pl (PL),http://allegro.pl,"
    Shopping & Retail",Shopping/General_Merchandise,412929559,Poland - 95.06,United Kingdom - 0.83,Germany - 0.73,Netherlands - 0.34,Ukraine - 0.27,103,5,12
Alsen PL (PL),http://www.alsen.pl,"
    Computers & Electronics, Shopping & Retail",Shopping/Consumer_Electronics,397863,Poland - 97.32,United Kingdom - 0.67,Netherlands - 0.51,Germany - 0.32,United States - 0.24,231035,5460,1592
Avans.pl (PL),https://www.avans.pl,"
    Home & Garden, Gaming, Computers & Electronics",Shopping/Consumer_Electronics,2397059,Poland - 97.62,Germany - 0.42,Ukraine - 0.32,United Kingdom - 0.23,United States - 0.21,52946,1170,430
Zaful (FR),http://fr.zaful.com,"
    Shopping & Retail",Unknown,1982334,France - 92.98,Algeria - 2.06,Belgium - 1.04,Reunion - 0.66,Guadeloupe - 0.33,,,
Avis PL,https://www.avis.pl,"
    Automotive",Autos_and_Vehicles/Car_Rentals,184736,Poland - 70.97,United Kingdom - 7.78,Germany - 7.43,Norway - 1.68,Taiwan - 1.61,392206,18415,249
AuchanDirect,http://www.auchandirect.pl,"
    Shopping & Retail",Shopping,1019022,Poland - 95.85,United Kingdom - 0.94,Belarus - 0.56,Germany - 0.47,Russian Federation - 0.39,85619,1968,6136
Bogactwo Kaw PL,https://www.bogactwokaw.pl,"
    Food & Drink",Unknown,33261,Poland - 97.56,Germany - 2.44,,,,1477087,53123,
Balladine (PL),http://www.balladine.com,"
    Fashion, Shopping & Retail",Shopping/Clothing,323267,Poland - 96.96,Canada - 1.14,Ireland - 0.47,Ukraine - 0.41,United States - 0.26,261960,6681,3375
bonprix (PL),https://www.bonprix.pl,"
    Fashion, Shopping & Retail, Home & Garden",Shopping/Clothing,10948474,Poland - 97.21,Germany - 0.76,Slovakia - 0.44,Hungary - 0.20,Ukraine - 0.19,6743,144,81
Castorama,https://www.castorama.pl,"
    Shopping & Retail, Home & Garden",Business_and_Industry,18166142,Poland - 97.05,United Kingdom - 0.60,Germany - 0.54,Czech Republic - 0.48,Norway - 0.19,5177,107,244
Black Red White kampania,http://www.brw.com.pl,"
    Home & Garden, Shopping & Retail",Business_and_Industry,192921,Poland - 93.69,United Kingdom - 2.30,Hungary - 0.58,Norway - 0.57,Slovenia - 0.55,421315,11825,41283
Chocolissimo (PL),http://chocolissimo.pl,"
    Shopping & Retail",Shopping,258142,Poland - 92.77,United Kingdom - 2.99,Sweden - 0.98,Czech Republic - 0.92,Germany - 0.81,351163,11099,24696
Bancovo kampania,https://www.bancovo.pl,"
    Finance",Unknown,309418,Poland - 93.19,Denmark - 3.28,United Kingdom - 1.89,France - 0.73,Germany - 0.29,294453,8185,
Citi Handlowy Karta kredytowa PL,https://www.online.citibank.pl,"
    Finance",Unknown,1931761,Poland - 97.09,Germany - 0.85,United States - 0.35,United Kingdom - 0.27,Netherlands - 0.24,,,
