Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Asos.com BE: Migrated 22/02/2018,http://www.asos.com,Retail & Shopping,Shopping/Clothing,103111861,United Kingdom - 23.27,United States - 18.55,Russian Federation - 11.19,Australia - 4.07,Spain - 2.94,455,87,3
Clarks DE: Migrated 26/01/2018,http://www.clarks.de,Retail & Shopping,Shopping/Clothing,672709,Germany - 86.30,Austria - 2.86,Switzerland - 2.63,Poland - 1.38,Bulgaria - 1.09,129150,13186,1843
rengas-online.com FI: Migrated 21/12/2017,http://rengas-online.com,Retail & Shopping,Autos_and_Vehicles,280331,Finland - 95.25,United Kingdom - 2.30,Sweden - 0.77,Netherlands - 0.57,India - 0.43,241488,1073,4430
ARAG DE - migrated,http://www.arag.de,Finance & Insurance,Finance/Insurance,964112,Germany - 96.91,Poland - 0.71,Austria - 0.46,United Kingdom - 0.46,Netherlands - 0.30,111060,4752,272
SPORT BILD DE - migrated,http://www.lesershop24.de,Retail & Shopping,Business_and_Industry,270603,Germany - 95.15,Switzerland - 0.80,Austria - 0.69,Spain - 0.53,Viet Nam - 0.43,341360,20929,31969
Blume2000.de - migrated,http://www.blume2000.de,Retail & Shopping,Shopping,756197,Germany - 90.32,Switzerland - 2.33,United States - 1.74,Bulgaria - 0.61,Russian Federation - 0.49,121221,5909,8533
MotorradreifenDirekt.ch: Migrated 21/12/2017,http://motorradreifendirekt.ch,Retail & Shopping,Autos_and_Vehicles/Motorcycles,11104,Switzerland - 72.20,Portugal - 15.19,Germany - 12.62,,,2663647,43324,3990
TomTom BE,http://www.tomtom.be,Retail & Shopping,Shopping/Consumer_Electronics,213,,,,,,,,
Pixum - migrated,http://www.pixum.de,Retail & Shopping,Shopping,818076,Germany - 93.18,Switzerland - 1.91,Austria - 0.98,United States - 0.89,Luxembourg - 0.74,86655,3739,6204
DieDruckerei DE - migrated,http://www.diedruckerei.de,Retail & Shopping,Shopping,894086,Germany - 88.29,Switzerland - 2.88,Austria - 2.11,Spain - 1.33,Belgium - 0.95,97608,4438,6929
Crocs DE - migrated,http://www.crocs.de,Retail & Shopping,Shopping/Clothing,466742,Germany - 83.10,Austria - 6.11,Ukraine - 2.07,Hungary - 1.90,United States - 1.42,157507,8429,2185
FXFlat DE - migrated,http://www.fxflat.com,Finance & Insurance,Finance/Investing,89655,Germany - 66.99,Haiti - 8.14,Austria - 4.38,United Kingdom - 3.07,Turkey - 3.03,1108635,83241,2946
promod DE - migrated,http://www.promod.de,Retail & Shopping,Shopping/Clothing,293927,Germany - 85.98,Austria - 3.14,Poland - 2.02,Spain - 1.85,France - 1.73,259889,14467,3358
TomTom DE - migrated,http://www.tomtom.com,Retail & Shopping,Computer_and_Electronics,20866749,Germany - 19.42,France - 15.97,United Kingdom - 11.46,Netherlands - 11.27,Italy - 5.56,3363,610,171
Sephora FR,http://www.sephora.fr,Retail & Shopping,Beauty_and_Fitness/Cosmetics,7719528,France - 75.94,United Kingdom - 9.86,Netherlands - 2.74,Belgium - 1.25,Tunisia - 1.05,14502,564,12
Audi Bank DE - migrated,http://www.audibank.de,Finance & Insurance,Finance/Banking,209141,Germany - 92.96,Portugal - 4.36,Brazil - 1.51,China - 0.30,Netherlands - 0.28,288693,15159,2212
Enamora DE - migrated,http://www.enamora.de,Retail & Shopping,Shopping/Clothing,335260,Germany - 93.80,Austria - 1.45,Switzerland - 1.05,France - 1.05,United States - 0.61,205537,12527,2752
Fashionette DE - migrated,http://www.fashionette.de,Retail & Shopping,Shopping/Clothing,887178,Germany - 94.16,Austria - 0.88,United States - 0.62,Serbia - 0.59,Switzerland - 0.57,82087,3467,1197
Omoda NL - migrated,http://www.omoda.nl,Retail & Shopping,Shopping/Clothing,1290831,Netherlands - 95.68,Belgium - 2.09,Germany - 0.66,Norway - 0.41,United States - 0.15,60982,796,868
Alba Moda DE - migrated,http://www.albamoda.de,Retail & Shopping,Shopping/Clothing,1872838,Germany - 94.99,Russian Federation - 1.58,Austria - 1.09,Switzerland - 0.49,China - 0.18,38027,1552,539
Goertz DE - migrated,http://www.goertz.de,Retail & Shopping,Shopping/Clothing,1369325,Germany - 94.52,Poland - 0.95,Austria - 0.71,Netherlands - 0.67,Spain - 0.43,56088,2331,802
Castorama FR - migration on October 20/10/16,http://www.castorama.fr,Retail & Shopping,Shopping/Home_and_Garden,20520661,France - 97.27,Belgium - 0.54,United Kingdom - 0.26,Switzerland - 0.25,Germany - 0.18,3646,133,15
ebuero de - migrated,http://www.ebuero.de,"Telco's & Services",Business_and_Industry/Business_Services,79973,Germany - 84.06,Switzerland - 10.76,Austria - 3.71,Norway - 0.60,470 - 0.55,1093247,70312,2881
Versandhaus Mona DE - migrated,http://www.mona.de,Retail & Shopping,Shopping/Clothing,761325,Germany - 95.07,Russian Federation - 1.79,Philippines - 1.59,Switzerland - 0.25,Austria - 0.24,87773,3755,1280
Tom Tailor BE - migrated,http://www.tom-tailor.be,Retail & Shopping,Shopping/Clothing,19990,Belgium - 93.29,Switzerland - 3.97,Ukraine - 2.74,,,2157851,31560,20069
La Redoute ES,http://www.laredoute.es,Retail & Shopping,Shopping/Clothing,2086383,Spain - 96.82,Mexico - 0.40,France - 0.39,Venezuela - 0.28,Peru - 0.27,41258,889,593
Schlafwelt DE - migrated,http://www.schlafwelt.de,Retail & Shopping,Shopping/Home_and_Garden,1420394,Germany - 96.79,Austria - 0.85,Switzerland - 0.68,France - 0.34,United States - 0.30,64405,2743,201
Sarenza.de - Schuhe online: Migrated 07/02/2018,http://www.sarenza.de,Retail & Shopping,Shopping/Clothing,550532,Germany - 88.38,Austria - 5.04,United States - 0.94,Switzerland - 0.89,France - 0.69,153581,7675,2145
Strawberrynet_Scandinavia,http://se.strawberrynet.com,Retail & Shopping,Unknown,11250,Sweden - 85.33,United Kingdom - 14.67,,,,,,
YOOX Deutschland - migrated,http://www.yoox.de,Retail & Shopping,Shopping/Clothing,9299,Germany - 79.42,Belarus - 13.15,417 - 7.43,,,7378194,1204880,50221
Meetic PT,http://www.meetic.pt,"Telco's & Services",People_and_Society/Relationships_and_Dating,344224,Portugal - 86.66,Brazil - 11.45,Mozambique - 0.45,120 - 0.30,Spain - 0.28,157108,1150,551
RueDuCommerce,http://www.rueducommerce.fr,Retail & Shopping,Shopping/Consumer_Electronics,17316218,France - 91.73,Belgium - 2.40,Switzerland - 0.55,Morocco - 0.40,Tunisia - 0.32,6261,231,61
eibmarkt de - migrated,http://www.eibmarkt.com,Retail & Shopping,Shopping/Consumer_Electronics,287981,Germany - 65.92,United Kingdom - 4.50,Austria - 3.67,Switzerland - 3.52,Italy - 2.31,311753,23396,2093
eprimo DE - migrated,http://www.eprimo.de,"Telco's & Services",Business_and_Industry/Energy,1693785,Germany - 98.28,Switzerland - 0.34,France - 0.28,United Kingdom - 0.26,United States - 0.18,51171,2134,91
entega DE - migrated,http://www.entega.de,"Telco's & Services",Business_and_Industry/Energy,397835,Germany - 96.48,Austria - 0.48,Turkey - 0.46,Slovakia - 0.44,France - 0.42,242973,12153,357
zur Rose AT - migrated,http://www.zurrose.at,Retail & Shopping,Health/Products_and_Shopping,134716,Austria - 77.48,Germany - 17.36,Italy - 2.38,Switzerland - 1.80,Romania - 0.83,478301,3423,1206
gayPARSHIP.de - migrated,http://de.gay-parship.com,"Telco's & Services",,,,,,,,,,
Here IT: Migrated 07/02/2018,http://www.navigation.com,"Telco's & Services",Autos_and_Vehicles,1530433,United States - 27.64,France - 14.65,Germany - 7.99,Spain - 5.17,United Kingdom - 5.17,67932,37122,1239
Online NL - migrated,http://www.online.nl,"Telco's & Services",Internet_and_Telecom/Telecommunications,2543165,Netherlands - 92.38,Belgium - 3.77,France - 1.40,Czech Republic - 0.53,United States - 0.31,41906,562,468
Wilhelm Büchner Hochschule DE - migrated,http://www.wb-fernstudium.de,"Telco's & Services",Career_and_Education/Education,197224,Germany - 89.63,Switzerland - 4.68,United Kingdom - 1.68,Iraq - 0.87,Bulgaria - 0.85,609846,37537,17866
1&1 Telecommunication - migrated,http://www.1und1.de,"Telco's & Services",Internet_and_Telecom/Telecommunications,36392764,Germany - 94.38,Austria - 0.65,United States - 0.45,United Kingdom - 0.40,Spain - 0.32,2531,98,45
Chain Reaction Cycles RU: Migrated 05/12/2017,http://www.chainreactioncycles.com,Retail & Shopping,Shopping/Sports,12549108,United Kingdom - 22.19,Russian Federation - 11.68,United States - 11.01,France - 5.26,Italy - 4.38,7981,1157,19
Softwareload DE,http://www.softwareload.de,"Telco's & Services",Computer_and_Electronics/Software,24820,Germany - 97.02,Belgium - 2.04,Romania - 0.94,,,2005980,123562,29343
Opodo DE - migrated,http://www.opodo.de,Travel,Travel/Tourism,9512373,Germany - 79.44,Austria - 11.01,Switzerland - 1.47,Netherlands - 0.59,Spain - 0.50,11797,512,80
ebookers CH - migrated,http://www.ebookers.ch,Travel,Travel/Tourism,2349130,Switzerland - 93.59,Germany - 1.65,France - 1.52,Liechtenstein - 0.40,Thailand - 0.28,41821,202,377
