Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Featherdown.co.uk,http://www.featherdown.co.uk,Travel and holidays,Pets_and_Animals/Birds,53359,United Kingdom - 78.94,United States - 10.98,Croatia - 4.37,Belgium - 2.88,Hong Kong - 1.52,1206608,91893,165
Fiyo.co.uk,https://www.fiyo.co.uk,Department stores,Unknown,234453,United Kingdom - 61.73,Bulgaria - 5.01,Romania - 2.80,France - 2.77,Germany - 2.58,422934,29111,
Flixbus UK,https://www.flixbus.co.uk,Travel and holidays,Unknown,579875,United Kingdom - 56.19,Germany - 9.65,Netherlands - 3.30,Poland - 2.78,Italy - 2.68,142638,10597,
Flight-Delayed.co.uk,https://www.flight-delayed.co.uk,Travel and holidays,Business_and_Industry/Aerospace_and_Defence,160194,United Kingdom - 51.07,United States - 9.00,Czech Republic - 5.51,Germany - 5.42,France - 4.33,455604,104037,78
FlowerBulbsInc.co.uk,http://www.flowerbulbsinc.co.uk,Flowers,Shopping/Home_and_Garden,50334,United Kingdom - 71.80,United States - 11.65,Colombia - 5.97,Spain - 4.06,Estonia - 2.37,1198444,102786,6127
Flyerzone.co.uk,http://www.flyerzone.co.uk,Professional services,Business_and_Industry,32492,United Kingdom - 48.53,United States - 9.03,Colombia - 6.43,Argentina - 5.78,Mexico - 5.42,2618515,496052,365672
Flyerzone.ie,http://www.flyerzone.ie,Professional services,Shopping/Gifts,348,United Kingdom - 56.69,Ireland - 43.31,,,,18266677,1659021,4372
Gardencentrekoeman.co.uk,http://www.gardencentrekoeman.co.uk,Home and garden,Shopping/Home_and_Garden,76911,United Kingdom - 88.49,Bulgaria - 2.51,Netherlands - 2.33,France - 1.88,Lithuania - 1.85,898347,59715,4357
Gardendecoration.co.uk,http://www.gardendecoration.co.uk,Art and living,Unknown,65,Russian Federation - 100.00,,,,,37457958,4394814,
Frmoda.com,http://www.frmoda.com,Fashion and jewelry,Shopping/Clothing,133847,Netherlands - 21.10,Italy - 20.09,United Kingdom - 9.92,Germany - 7.54,United States - 7.37,483718,64626,5739
GardenHotels.com,https://www.gardenhotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,134542,Spain - 49.95,Germany - 29.22,United Kingdom - 5.78,Netherlands - 3.96,France - 3.49,697473,39639,3536
Giftsnideas.com,https://www.giftsnideas.com,Gifts and gadgets,Shopping,366327,United States - 15.62,United Kingdom - 10.24,Bulgaria - 7.13,India - 7.02,Canada - 5.94,463657,462990,32688
Glidesoul.com,https://uk.glidesoul.com,Fashion and jewelry,Unknown,160,,,,,,,,
Glassdiningtables.co.uk,https://www.glassdiningtables.co.uk,Home and garden,Unknown,34687,United Kingdom - 80.06,Guernsey - 15.39,United States - 4.54,,,1649662,129940,
Govoyagin.com,https://www.govoyagin.com,Travel and holidays,Travel/Tourism,1447300,United States - 29.66,Australia - 7.69,Japan - 7.29,United Kingdom - 5.71,Singapore - 5.41,77399,61546,742
Greatlittlebreaks.com,http://www.greatlittlebreaks.com,Travel and holidays,Shopping,275543,United Kingdom - 96.82,Germany - 1.83,Ireland - 0.70,Isle of Man - 0.65,,389190,23057,27356
Gloriousgangsta.com,https://www.gloriousgangsta.com,Fashion and jewelry,Unknown,66252,United Kingdom - 47.78,Sweden - 13.28,Poland - 6.74,Italy - 5.35,Netherlands - 4.49,810791,99587,
Gruppouna.it,https://www.gruppouna.it,Travel and holidays,Unknown,195679,Italy - 60.99,France - 5.97,United Kingdom - 4.69,Germany - 3.44,Belgium - 2.53,457444,17639,
Gregsonandbuck.com,https://www.gregsonandbuck.com,Fashion and jewelry,Unknown,386,United States - 45.12,Australia - 31.91,Monaco - 22.97,,,15945803,6739020,
G-Star.com,http://www.g-star.com,Fashion and jewelry,Shopping/Clothing,4227181,United States - 16.52,Germany - 13.90,Netherlands - 11.38,France - 7.05,Spain - 6.85,23692,22858,340
H10Hotels.com,https://www.h10hotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,1820585,Spain - 23.90,United Kingdom - 17.62,Germany - 9.02,United States - 8.16,France - 7.58,78672,3783,337
Guitarthotels.com,https://www.guitarthotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,32980,Spain - 43.72,Germany - 18.13,France - 11.75,Switzerland - 6.43,United Kingdom - 5.88,2104870,100165,14696
Hair-plus.co.uk,http://www.hair-plus.co.uk,Health and beauty,Health,1336,United States - 100.00,,,,,31718828,8002447,597140
Hcsupplies.co.uk,https://www.hcsupplies.co.uk,Home and garden,Shopping/Home_and_Garden,197852,United Kingdom - 91.26,Turkey - 4.31,Romania - 0.97,Netherlands - 0.89,India - 0.77,389720,23947,1745
Helloprint UK,https://www.helloprint.co.uk,Art and living,Business_and_Industry/Marketing_and_Advertising,591333,United Kingdom - 86.41,Netherlands - 3.88,Spain - 1.30,France - 1.12,Congo Republic - 0.64,127633,6965,780
